Row,kDN,DS,DCP,TD_P,TD_U,CL,CLD,MV,CB,N1,N2,LSC,LSR,Harmfulness,Usefulness
1,0,0.158653846153846,0.80952380952381,3,5,0.95213234579058,0.904264691581159,0.0842911877394636,-0.022,0,0.961547262479576,0.0964360587002096,0.0571154281497002,0,43
2,0,1,0.940886699507389,2,5,0.99818298153906,0.99636596307812,0.0842911877394636,-0.022,0,0.838425719933284,0.115303983228512,0.0479275621473789,0,123
3,0,1,0.940886699507389,2,5,0.999492454091921,0.998984908183842,0.0842911877394636,-0.022,0,0.956087317309845,0.224318658280922,0.0899918377399445,0,74
4,0,0.971153846153846,0.951501154734411,2,6,0.999639699020133,0.999279398040266,0,0.022,0,0.916064237761283,0.339731285988484,0.116843283176422,0,64
5,0.8,0.00480769230769231,0.0484988452655889,2,6,0.0404174904708482,-0.919165019058304,0.0842911877394636,-0.022,2,0.237258437054253,0,0.00314539461396635,24,0
6,0,1,0.940886699507389,2,5,0.999043943234002,0.998087886468005,0.0842911877394636,-0.022,0,0.916513951019974,0.184486373165618,0.0693610310554504,0,109
7,0.2,0.0625,0.888888888888889,3,5,0.958362450603356,0.916724901206711,0,0.022,0,0.525387438889306,0.00191938579654511,0.019492132589221,0,12
8,0,1,0.940886699507389,2,5,0.999355128715506,0.998710257431011,0.0842911877394636,-0.022,0,0.9056404698023,0.364779874213836,0.130140170454979,0,71
9,0,1,0.940886699507389,2,5,0.99998969849515,0.999979396990299,0.0842911877394636,-0.022,0,0.920270505690826,0.366876310272537,0.210276380181313,0,33
10,0.6,0.00961538461538462,0.0591133004926108,2,11,0.136366939994916,-0.727266120010168,0,0.022,1,0.515875822536451,0.00191938579654511,0.00407288316637278,1,0
11,0,0.120192307692308,0.951501154734411,2,9,0.994991318163869,0.989982636327738,0,0.022,0,0.863822506197076,0.0710172744721689,0.0475139357149601,0,74
12,0,0.158653846153846,0.80952380952381,3,5,0.871280784952146,0.742561569904292,0.0842911877394636,-0.022,0,0.715024294509673,0.0314465408805031,0.0382708162069321,0,24
13,0,0.375,0.940886699507389,2,6,0.823134044606341,0.646268089212682,0.0842911877394636,-0.022,0,0.798072245324545,0.0293501048218029,0.0217849481850863,0,12
14,0,1,0.940886699507389,2,5,0.999788048955438,0.999576097910876,0.0842911877394636,-0.022,0,0.883162761111207,0.190775681341719,0.119586125016212,0,42
15,0,0.375,0.940886699507389,2,6,0.986446399091517,0.972892798183034,0.0842911877394636,-0.022,0,0.698807598090464,0.0188679245283019,0.015329584479332,0,26
16,0,0.375,0.940886699507389,2,6,0.971013180509478,0.942026361018956,0.0842911877394636,-0.022,0,0.888160325988812,0.0733752620545073,0.030798239633441,0,81
17,0.2,0.00961538461538462,0.940886699507389,2,18,0.799065511347475,0.59813102269495,0.0842911877394636,-0.022,0,0.632102718741384,0.00419287211740042,0.00998417846858501,0,7
18,0,0.0192307692307692,0.850746268656716,3,8,0.996835761282356,0.993671522564712,0,0.022,0,0.764907479620131,0.036468330134357,0.118715822696686,0,7
