Time,/Condenser-1.In.MassFlow,/Condenser-1.Liq.T,/Condenser-1.Vap.MassFlow
[s],[kg/h],[C],[kg/h]
19844,61576.44233,137.3039788,51330.45843
19847,61579.30665,137.3028922,51330.52513
19850,61603.14042,137.302933,51330.5225
19853,61573.55577,137.3086639,51330.16997
19856,61572.75296,137.30548,51330.36625
19859,61582.77966,137.3025495,51330.54634
19862,61574.93852,137.3050228,51330.39372
19865,61574.88795,137.3039923,51330.45752
19868,61581.22283,137.309107,51330.14222
19871,61579.88687,137.3096443,51330.11007
19874,61576.02483,137.3064269,51330.30814
19877,61576.52068,137.3039818,51330.45833
19880,61581.31307,137.3028945,51330.525
19883,61587.60675,137.3078448,51330.22033
19886,61573.8535,137.3072648,51330.25645
19889,61574.89755,137.3038337,51330.46747
19892,61593.41965,137.3026736,51330.53863
19895,61576.88808,137.3047165,51330.41288
19898,61608.52328,137.3038382,51330.46691
19901,61574.20739,137.3112959,51330.00807
19904,61573.72326,137.3079632,51330.21366
19907,61577.6717,137.3045238,51330.42508
19910,61577.94389,137.3032889,51330.50077
19913,61592.27462,137.3030862,51330.51313
19916,61578.58549,137.3052706,51330.37878
19919,61573.96228,137.3038579,51330.46578
19922,61579.88913,137.3080047,51330.21001
19925,61579.08875,137.3079593,51330.21366
19928,61576.46541,137.3048559,51330.40467
19931,61574.6502,137.3037845,51330.47022
19934,61581.74163,137.3044212,51330.43108
19937,61582.5332,137.3033175,51330.49905
19940,61590.45288,137.3094349,51330.1225
19943,61573.23442,137.3095066,51330.11858
19946,61574.1007,137.3056718,51330.35447
19949,61578.64129,137.303443,51330.49134
19952,61603.59268,137.3033136,51330.49911
19955,61573.75698,137.3092476,51330.13403
19958,61572.81797,137.3059924,51330.33472
19961,61577.93779,137.3029504,51330.52172
19964,61594.19608,137.3032071,51330.50569
19967,61578.50895,137.3059038,51330.33977
19970,61573.49505,137.3044421,51330.42985
19973,61579.85968,137.3084722,51330.18126
19976,61579.14742,137.3083669,51330.18856
19979,61576.43674,137.3052067,51330.38305
19982,61576.77784,137.3030833,51330.51344
19985,61580.76646,137.3077614,51330.2249
19988,61578.50878,137.3078859,51330.21809
19991,61576.31419,137.3045247,51330.42498
19994,61584.01436,137.3025969,51330.54327
19997,61577.61804,137.3059555,51330.33623
20000,61575.08817,137.3055294,51330.36288
20003,61580.8944,137.3030824,51330.51353
20006,61589.13178,137.3082856,51330.19314
20009,61573.92019,137.3079982,51330.21124
20012,61574.50319,137.3044863,51330.42722
20015,61581.82938,137.3026161,51330.54208
20018,61588.0323,137.3078494,51330.21994
20021,61573.66963,137.3074694,51330.24371
20024,61574.80322,137.3038592,51330.46575
20027,61577.83138,137.3035022,51330.48741
20030,61582.19676,137.3054864,51330.36537
20033,61579.10324,137.3045703,51330.42195
20036,61606.19233,137.3033526,51330.49676
20039,61573.46979,137.3098933,51330.09432
20042,61573.32746,137.3065849,51330.29825
20045,61577.94264,137.3034595,51330.49042
20048,61604.32037,137.3030876,51330.51298
20051,61574.01916,137.3093205,51330.12946
20054,61572.97111,137.3059783,51330.33555
20057,61577.88081,137.3029216,51330.52347
20060,61576.2307,137.3031744,51330.50766
20063,61580.74181,137.3087043,51330.16683
20066,61580.19789,137.3092231,51330.13591
20069,61576.15446,137.3062184,51330.32089
20072,61576.47413,137.3038252,51330.46786
20075,61581.29559,137.302757,51330.53342
20078,61577.73101,137.3053117,51330.37593
20081,61574.42374,137.3048556,51330.40433
20084,61579.07502,137.305062,51330.39146
20087,61572.7162,137.3043519,51330.43533
20090,61579.66397,137.308428,51330.18391
20093,61579.53176,137.3083794,51330.18781
20096,61576.46168,137.3053698,51330.37304
20099,61584.22971,137.3032692,51330.50199
20102,61581.75047,137.3031752,51330.5077
20105,61590.99114,137.3092066,51330.13647
20108,61573.50899,137.3094359,51330.12285
20111,61573.98482,137.3057331,51330.35068
20114,61578.69725,137.3034699,51330.48967
20117,61578.76375,137.302943,51330.5219
20120,61579.53868,137.3030242,51330.5169
20123,61580.99342,137.3053064,51330.37652
20126,61579.7319,137.3041711,51330.44657
20129,61605.93952,137.3031709,51330.50792
20132,61573.26371,137.3095355,51330.11636
20135,61573.29515,137.3062631,51330.31804
20138,61578.01051,137.3032157,51330.50534
20141,61576.29214,137.3034938,51330.48807
20144,61580.61721,137.3089739,51330.1503
20147,61580.20251,137.3094099,51330.12439
20150,61576.16393,137.30638,51330.311
20153,61576.45985,137.3039591,51330.45966
20156,61579.25525,137.3028652,51330.52671
20159,61592.64597,137.3032307,51330.50412
20162,61579.31754,137.3055416,51330.36211
